performance_score,unused-javascript,total-byte-weight,resource_image_bytes,resource_font_bytes,unused-css-rules,unused-javascript_savings_bytes,resource_third-party_bytes,category,strategy
0.59,0.0,5361881.0,4205389.0,317778.0,1360.0,328328.0,1993615.0,Food & Hospitality,mobile
1.0,0.0,996.0,0.0,0.0,0.0,0.0,0.0,Food & Hospitality,mobile
0.13,7310.0,6319591.0,1095147.0,273804.0,360.0,1713628.0,2848293.0,Food & Hospitality,mobile
0.83,0.0,3188045.0,37957.0,1618229.0,600.0,0.0,3012.0,Food & Hospitality,mobile
0.09,3800.0,5244173.0,701047.0,273813.0,370.0,1539364.0,2808416.0,Food & Hospitality,mobile
0.27,3450.0,5313903.0,905510.0,273669.0,750.0,1507182.0,2838183.0,Food & Hospitality,mobile
0.32,3880.0,5538801.0,991477.0,273751.0,450.0,1532167.0,2816592.0,Food & Hospitality,mobile
0.32,4050.0,5501679.0,962236.0,273751.0,300.0,1531508.0,2811255.0,Food & Hospitality,mobile
0.12,1950.0,5675261.0,1163800.0,273816.0,300.0,1532158.0,2782985.0,Food & Hospitality,mobile
0.27,1950.0,6076677.0,1535106.0,273804.0,450.0,1527878.0,2825549.0,Food & Hospitality,mobile
0.32,14370.0,35252139.0,10158888.0,396621.0,5130.0,3173227.0,1223494.0,Food & Hospitality,mobile
0.42,14400.0,10618071.0,2297828.0,319423.0,5040.0,3202227.0,1218845.0,Food & Hospitality,mobile
0.51,15210.0,8318156.0,23017.0,283253.0,5110.0,3238296.0,1219721.0,Food & Hospitality,mobile
0.26,16550.0,13991409.0,5690983.0,296182.0,5380.0,3238624.0,1218169.0,Food & Hospitality,mobile
0.49,15080.0,11170033.0,2941138.0,272278.0,5190.0,3144992.0,1109678.0,Food & Hospitality,mobile
0.44,15530.0,8642645.0,66619.0,235777.0,5340.0,3211381.0,1223195.0,Food & Hospitality,mobile
0.47,1350.0,1980827.0,197742.0,165384.0,0.0,630879.0,1646802.0,Food & Hospitality,mobile
0.7,0.0,1832981.0,12307.0,192523.0,0.0,634190.0,1462696.0,Food & Hospitality,mobile
0.46,2930.0,1878535.0,71054.0,192528.0,0.0,634419.0,1522704.0,Food & Hospitality,mobile
0.38,1110.0,2790458.0,919394.0,192528.0,0.0,600086.0,2424111.0,Food & Hospitality,mobile
0.74,0.0,1858047.0,71027.0,165380.0,0.0,640270.0,1526508.0,Food & Hospitality,mobile
0.1,4950.0,5001712.0,382206.0,86315.0,150.0,1983974.0,2625626.0,Food & Hospitality,mobile
0.64,990.0,2264758.0,1766418.0,46795.0,0.0,153776.0,393417.0,Food & Hospitality,mobile
0.51,2340.0,7967032.0,6448362.0,181451.0,300.0,455680.0,706044.0,Food & Hospitality,mobile
0.35,2100.0,5128017.0,3605366.0,186234.0,300.0,404663.0,706394.0,Food & Hospitality,mobile
0.55,3600.0,1998238.0,110652.0,163857.0,0.0,688903.0,1092022.0,Food & Hospitality,mobile
0.35,1950.0,4662010.0,2967421.0,186240.0,300.0,476387.0,707110.0,Food & Hospitality,mobile
0.34,2400.0,8500377.0,6822517.0,180983.0,150.0,490345.0,706768.0,Food & Hospitality,mobile
